Item type,SKU_NO,Cost,Availability,Number of items sold,Revenue generated,Customer demographics,Stock levels
hair,SKU_0,52.30301,55,302,3551.224,Binary,53
skin,SKU_1,14.34352,25,435,4450.2,Male,53
hair,SKU_2,11.31253,34,3,2544.45,Unknown,1
skin,SKU_3,51.15334,53,33,4455.335,Binary,23
skin,SKU_4,4.305425,25,341,2535.505,Binary,5
hair,SKU_5,1.522245,34,144,2323.342,Binary,20
skin,SKU_5,4.043333,43,55,4323.444,Female,11
cosmetics,SKU_4,42.25333,52,425,3425.104,Male,23
cosmetics,SKU_3,53.4145,43,150,4514.353,Male,5
skin,SKU_2,54.01543,35,230,4241.145,Unknown,14
skin,SKU_10,15.4043,11,225,2330.255,Binary,51
skin,SKU_11,20.53545,25,250,5022.244,Male,45
hair,SKU_12,41.21332,41,335,2343.441,Unknown,100
skin,SKU_13,15.15032,5,242,4052.433,Female,30
skin,SKU_14,22.14133,25,552,3553.541,Binary,54
skin,SKU_15,35.23224,24,452,5442.034,Binary,2
skin,SKU_15,4.544142,44,230,5453.423,Male,2
cosmetics,SKU_14,31.45253,32,125,2522.325,Male,45
hair,SKU_13,35.44353,23,520,2354.544,Unknown,10
skin,SKU_12,51.12334,100,134,2553.425,Unknown,43
skin,SKU_20,25.34104,22,320,3123.023,Unknown,24
cosmetics,SKU_21,34.32334,50,501,4034.053,Unknown,52
hair,SKU_22,24.54243,55,334,2320.303,Unknown,41
cosmetics,SKU_23,4.324341,30,321,3353.353,Unknown,34
hair,SKU_24,4.155303,32,202,2042.043,Female,4
hair,SKU_25,32.52234,43,142,2144.444,Female,32
hair,SKU_25,24.44525,2,353,3415.423,Female,52
cosmetics,SKU_24,22.55435,42,352,2535.454,Unknown,44
cosmetics,SKU_23,2.324245,12,324,5114.325,Male,43
